Count,Nation
1968,
1563,FRA
382,USA
163,GBR
87,NGA
77,KEN
73,ITA
61,CAN
59,IND
52,ESP
50,IDN
36,ZAF
33,PRT
30,EGY
29,VEN
28,BGD
26,GHA
26,DEU
21,COL
21,URY
20,MEX
20,BRA
17,NOR
17,ARE
16,PHL
14,IRL
14,SAU
14,ARG
14,MTQ
13,SEN
12,PAK
12,GTM
12,CHE
11,CMR
11,PER
10,BEL
10,JPN
10,MCO
9,SWE
9,MDV
8,JOR
8,GLP
6,RUS
5,UGA
5,PAN
5,IRQ
5,MYS
5,SLV
5,BRB
5,AUS
4,SRB
4,LBY
4,FIN
4,LBN
4,ECU
4,ZWE
4,REU
4,JAM
4,POL
4,CRI
4,NLD
3,TZA
3,ZMB
3,HUN
3,ISR
3,KWT
2,LSO
2,SGP
2,NAM
2,BGR
2,CHN
2,MAR
2,UKR
2,TUR
2,LUX
2,ARM
2,MLT
2,CIV
2,GAB
2,DNK
1,TGO
1,MKD
1,QAT
1,TUN
1,AGO
1,LKA
1,MLI
1,CHL
1,BHR
1,GRL
1,AUT
1,MSR
1,THA
1,PRI
1,COD
1,CUB
1,UZB
1,RWA
1,HRV
1,BFA
1,GEO
1,MNE
1,BIH
1,NIC
1,AZE
1,BHS
1,HND
1,DZA
1,CYP
